Gender,Age stand,Study stand,Learning mode,Social stand,Attendance stand,Cohabitants,Previous SGPA stand,Current CPGA stand,Family income stand
Male,20,3.1540296924708375,Offline,3.4722805176635183,85.0,Bachelor,2.49,3.03,40000
Female,19,2.0,Offline,3.0,95.0,Family,4.59,4.67,100000
Female,22,3.0,Offline,3.4722805176635183,90.0,Family,3.86,3.67,20000
Male,20,3.5,Offline,1.0,100.0,Family,0.0,0.0,30000
Male,21,6.0,Online,3.4722805176635183,90.0,Family,3.82,3.7,50000
Male,21,2.0,Online,3.4722805176635183,75.0,Family,3.58,3.1,40000
Male,21,3.1540296924708375,Offline,2.0,98.0,Bachelor,2.57,2.8,30000
Male,22,5.0,Offline,2.0,95.0,Bachelor,3.86,3.92,40000
Male,22,3.0,Offline,3.0,80.0,Bachelor,4.0,0.0,40000
Male,23,1.0,Online,2.0,90.0,Bachelor,3.1,3.4,40
Female,21,3.1540296924708375,Offline,3.4722805176635183,100.0,Bachelor,2.760508706467662,3.201095977596741,40000
Male,20,1.0,Offline,1.0,95.0,Family,3.68,3.65,45000
Female,21,7.0,Offline,3.0,2.0,Family,3.4,3.4,40000
Male,19,8.0,Offline,2.0,100.0,Bachelor,2.760508706467662,3.201095977596741,10000
Male,20,3.1540296924708375,Offline,3.4722805176635183,70.0,Family,2.45,2.95,50000
Female,25,2.0,Offline,3.4722805176635183,80.0,Family,2.4,2.89,207239
Female,20,4.0,Offline,1.0,99.0,Family,3.47,3.2,50000
Male,21,1.0,Offline,3.4722805176635183,100.0,Bachelor,2.53,3.05,37000
Female,23,1.0,Offline,3.4722805176635183,100.0,Family,2.56,2.72,45000
Female,19,4.0,Offline,3.0,100.0,Family,2.760508706467662,3.201095977596741,100000
Male,20,2.0,Online,1.0,80.0,Family,2.36,2.56,35000
Female,20,2.0,Offline,1.0,100.0,Bachelor,2.760508706467662,3.201095977596741,400006
Male,21,1.0,Online,2.0,100.0,Family,2.760508706467662,3.201095977596741,70000
Male,22,4.0,Offline,2.0,100.0,Bachelor,2.760508706467662,3.201095977596741,20000
Female,20,2.0,Online,1.0,90.0,Bachelor,3.19,2.73,40000
Male,21,2.0,Online,1.0,88.33627450980393,Bachelor,2.760508706467662,3.201095977596741,30000
Female,22,6.0,Offline,2.0,98.0,Family,3.1,3.07,60
Male,21,3.1540296924708375,Offline,3.4722805176635183,95.0,Bachelor,3.28,3.0,70000
Female,21,1.0,Offline,2.0,100.0,Family,0.0,0.0,35000
Male,20,5.0,Offline,3.0,90.0,Bachelor,3.6,3.6,10000
Female,21,3.0,Offline,1.0,90.0,Bachelor,3.75,3.7,50000
Male,20,1.0,Online,3.0,90.0,Family,3.85,3.92,40000
Female,20,3.1540296924708375,Offline,3.4722805176635183,90.0,Family,2.68,2.68,100000
Female,21,3.0,Online,1.0,99.0,Bachelor,3.18,3.18,0
Female,24,2.0,Offline,1.0,90.0,Family,3.39,3.4,5000
Female,20,3.1540296924708375,Online,3.4722805176635183,100.0,Bachelor,2.98,3.38,60000
Female,21,9.0,Offline,3.0,97.0,Family,3.7,3.201095977596741,50000
Female,23,1.0,Offline,2.0,80.0,Family,3.25,2.95,40000
Male,19,2.0,Online,3.0,88.33627450980393,Family,3.03,3.21,30000
Female,22,2.0,Offline,3.0,95.0,Bachelor,3.1,3.18,50000
Female,21,2.0,Offline,3.0,98.0,Family,3.7,3.7,120000
Male,21,9.0,Offline,6.0,70.0,Family,4.0,4.0,30000
Male,19,1.0,Offline,2.0,85.0,Bachelor,3.18,3.45,40000000
Female,19,3.1540296924708375,Offline,3.4722805176635183,100.0,Family,3.61,3.74,40000
Male,22,2.0,Online,0.0,70.0,Family,3.01,3.22,70000
Female,21,2.0,Offline,5.0,80.0,Family,3.26,3.36,40000
Male,25,1.0,Offline,2.0,100.0,Bachelor,3.6,3.72,300000
Male,20,2.0,Offline,5.0,100.0,Bachelor,3.12,3.01,50000
Female,20,4.0,Offline,2.0,100.0,Bachelor,5.0,3.93,50000
Male,20,5.0,Online,6.0,95.0,Bachelor,3.0,3.55,150000
Male,24,1.0,Online,3.4722805176635183,88.33627450980393,Family,1.61,2.44,25000
Male,22,1.0,Online,3.0,80.0,Family,2.79,3.15,40000
Female,22,2.0,Offline,3.0,98.0,Bachelor,3.83,3.4,40000
Male,26,3.0,Online,2.0,100.0,Family,3.58,3.27,207239
Female,21,3.1540296924708375,Offline,4.0,100.0,Family,3.39,3.19,70000
Male,20,3.0,Offline,2.0,100.0,Bachelor,3.38,3.37,25000
Female,19,3.1540296924708375,Offline,1.0,100.0,Bachelor,3.03,3.15,30000
Male,20,3.0,Offline,1.0,100.0,Family,2.760508706467662,3.201095977596741,40000
